dataset,comparison,protein,symbol,effect,pvalue,statistic
Hobson 2022,APEX2+ striatum / bulk striatum,Slc10a4,SLC10A4,4.37816797659774,2.01905494414972e-06,BH-adjusted q
Hobson 2022,APEX2+ striatum / bulk striatum,Synaptophysin,SYP,4.03085120440222,3.04862899816354e-06,BH-adjusted q
Hobson 2022,APEX2+ striatum / bulk striatum,VMAT2,SLC18A2,4.77994138718585,9.11520837036641e-06,BH-adjusted q
Hobson 2022,APEX2+ striatum / bulk striatum,SV2C,SV2C,4.26269219363247,9.20745834778448e-06,BH-adjusted q
Hobson 2022,APEX2+ striatum / bulk striatum,DAT,SLC6A3,2.93636956171756,1.78066833379133e-05,BH-adjusted q
Hobson 2022,APEX2+ striatum / bulk striatum,Syngr3,SYNGR3,3.62081023953174,2.75115296255697e-05,BH-adjusted q
Hobson 2022,APEX2+ striatum / bulk striatum,TH,TH,3.45906305732996,3.02336987439872e-05,BH-adjusted q
Hobson 2022,APEX2+ striatum / bulk striatum,Dnajc6,DNAJC6,2.35764317717971,9.2038885848517e-05,BH-adjusted q
Hobson 2022,APEX2+ striatum / bulk striatum,DDC,DDC,3.1163081934134,9.78874192207611e-05,BH-adjusted q
Hobson 2022,APEX2+ striatum / bulk striatum,Syngr1,SYNGR1,1.32918625048363,0.000264507892566036,BH-adjusted q
Hobson 2022,APEX2+ striatum / bulk striatum,Synj1,SYNJ1,1.95763258470801,0.000607374582599888,BH-adjusted q
Hobson 2022,APEX2+ striatum / bulk striatum,SV2A,SV2A,0.88130541059822,0.000818720482941988,BH-adjusted q
Hobson 2022,APEX2+ striatum / bulk striatum,aSyn,SNCA,3.58964542007075,0.000986156817616018,BH-adjusted q
Hobson 2022,APEX2+ striatum / bulk striatum,SV2B,SV2B,1.70255752745679,0.00125806988421469,BH-adjusted q
Hobson 2022,APEX2+ striatum / bulk striatum,Snap25,SNAP25,-0.583054896777568,0.00358041527526573,BH-adjusted q
Hobson 2022,APEX2+ striatum / bulk striatum,VGLUT2,SLC17A6,0.0877891959742231,0.768453602351191,BH-adjusted q
Paget-Blanc 2022,DA-FASS / bulk synaptosomes,Snap25,SNAP25,0.25096157353321874,0.751,BH-adjusted p
Paget-Blanc 2022,DA-FASS / bulk synaptosomes,Synj1,SYNJ1,0.22650852980867975,0.809,BH-adjusted p
Paget-Blanc 2022,DA-FASS / bulk synaptosomes,SV2A,SV2A,0.014355292977070054,1.0,BH-adjusted p
Paget-Blanc 2022,DA-FASS / bulk synaptosomes,Dnajc6,DNAJC6,0.4005379295837288,0.406,BH-adjusted p
Paget-Blanc 2022,DA-FASS / bulk synaptosomes,DDC,DDC,2.0036022366801953,1.6e-16,BH-adjusted p
Paget-Blanc 2022,DA-FASS / bulk synaptosomes,TH,TH,2.176322772640463,1.6e-16,BH-adjusted p
